name,|V|,gir,bip,CayTy,|A_v|,[|G_v|],solv,[|ConCyc|]
GHAT[9;1],9,3,nb,AbCay,8,[2],solv,[3s;4s;6s]
GHAT[10;1],10,4,b,Circ,24,[2],n-solv,[4s;6s;10s]
GHAT[15;1],15,4,nb,Circ,4,[2;2],solv,[6s;10s;15s]
GHAT[18;1],18,4,b,AbCay,8,[2;4],solv,[4s;6s;6s]
GHAT[20;1],20,4,b,AbCay,4,[2],solv,[4c;4c;10s]
GHAT[21;1],21,3,nb,Cay,16,[2],n-solv,[3s;6s;8s]
GHAT[21;2],21,4,nb,Circ,4,[2;2],solv,[6s;14s;21s]
GHAT[24;1],24,4,b,Circ,4,[2;2;2],solv,[6s;8s;24s]
GHAT[24;2],24,4,b,Circ,4,[2;2;2],solv,[8s;12s;24s]
GHAT[24;3],24,3,nb,Cay,4,[2;2],solv,[3s;8s;12s]
GHAT[24;4],24,5,nb,Cay,4,[2;2],solv,[6s;8s;12s]
GHAT[25;1],25,4,nb,AbCay,8,[2],solv,[4s;5s;10s]
GHAT[26;1],26,4,b,Circ,4,[2],solv,[4c;4c;26s]
GHAT[27;1],27,4,nb,AbCay,4,[2;2],solv,[6s;9s;18s]
GHAT[27;2],27,3,nb,Cay,8,[2],solv,[3s;6s;12s]
GHAT[30;1],30,4,b,Circ,4,[2;2;2],solv,[6s;10s;30s]
GHAT[30;2],30,6,b,Cay,24,[2],n-solv,[6s;10s;12s]
GHAT[30;3],30,3,nb,n-Cay,4,[2],n-solv,[3s;5s;10s]
GHAT[30;4],30,5,nb,n-Cay,8,[4],n-solv,[5s;6s;6s]
GHAT[32;1],32,4,b,AbCay,4,[2;2;2],solv,[8s;16s;16s]
GHAT[32;2],32,6,b,Cay,72,[4],solv,[6s;8s;12s]
GHAT[33;1],33,4,nb,Circ,4,[2;2],solv,[6s;22s;33s]
GHAT[34;1],34,4,b,Circ,4,[2],solv,[4c;4c;34s]
GHAT[35;1],35,4,nb,Circ,4,[2;2],solv,[10s;14s;35s]
GHAT[36;1],36,4,b,AbCay,8,[2;2;4],solv,[4s;6s;12s]
GHAT[36;2],36,6,b,n-Cay,4,[2],solv,[6s;8c;8c]
GHAT[36;3],36,3,nb,Cay,4,[2;2],solv,[3s;6s;12s]
GHAT[36;4],36,4,b,AbCay,4,[2;2;2],solv,[6s;12s;12s]
GHAT[39;1],39,4,nb,Circ,4,[2;2],solv,[6s;26s;39s]
GHAT[40;1],40,6,b,Cay,4,[2],solv,[8c;8c;10s]
GHAT[40;2],40,4,b,Circ,4,[2;2;2],solv,[8s;10s;40s]
GHAT[40;3],40,4,b,AbCay,4,[2],solv,[4c;4c;20s]
GHAT[40;4],40,6,b,Cay,4,[2],solv,[8c;8c;20s]
GHAT[40;5],40,4,b,Circ,4,[2;2;2],solv,[8s;20s;40s]
GHAT[42;1],42,6,b,Cay,16,[2;8],n-solv,[6s;6s;8s]
GHAT[42;2],42,4,b,Circ,4,[2;2;2],solv,[6s;14s;42s]
GHAT[45;1],45,4,nb,Circ,4,[2;2],solv,[10s;18s;45s]
GHAT[45;2],45,4,nb,AbCay,4,[2;2],solv,[6s;15s;30s]
GHAT[48;1],48,3,nb,Cay,4,[2;2],solv,[3s;6s;8s]
GHAT[48;2],48,4,b,Circ,4,[2;2;2],solv,[6s;16s;48s]
GHAT[48;3],48,4,b,AbCay,4,[2;2;2],solv,[8s;12s;24s]
GHAT[48;4],48,4,b,Circ,4,[2;2;2],solv,[12s;16s;48s]
GHAT[48;5],48,4,b,AbCay,4,[2;2;2],solv,[8s;12s;24s]
GHAT[48;6],48,6,b,Cay,4,[2;2;2],solv,[6s;8s;12s]
GHAT[48;7],48,6,b,Cay,8,[2;4],solv,[6s;8s;24s]
GHAT[48;8],48,6,b,Cay,8,[2;4],solv,[8s;12s;24s]
GHAT[49;1],49,4,nb,AbCay,8,[2],solv,[4s;7s;14s]
GHAT[50;1],50,4,b,AbCay,8,[2;4],solv,[4s;10s;10s]
GHAT[50;2],50,6,b,Cay,4,[2],solv,[10s;20c;20c]
GHAT[50;3],50,4,b,Circ,4,[2],solv,[4c;4c;50s]
GHAT[51;1],51,4,nb,Circ,4,[2;2],solv,[6s;34s;51s]
GHAT[52;1],52,4,b,AbCay,4,[2],solv,[4c;4c;26s]
GHAT[54;1],54,6,b,Cay,24,[4],solv,[6s;6s;12s]
GHAT[54;2],54,4,b,Cay,4,[2],solv,[4s;6s;12s]
GHAT[54;3],54,6,b,Cay,8,[2;4],solv,[6s;6s;12s]
GHAT[54;4],54,4,b,AbCay,4,[2;2;2],solv,[6s;18s;18s]
GHAT[55;1],55,4,nb,Circ,4,[2;2],solv,[10s;22s;55s]
GHAT[56;1],56,4,b,Circ,4,[2;2;2],solv,[8s;14s;56s]
GHAT[56;2],56,4,b,Circ,4,[2;2;2],solv,[8s;28s;56s]
GHAT[57;1],57,4,nb,Circ,4,[2;2],solv,[6s;38s;57s]
GHAT[58;1],58,4,b,Circ,4,[2],solv,[4c;4c;58s]
GHAT[60;1],60,6,nb,Cay,4,[2;2],solv,[6s;15s;20s]
GHAT[60;2],60,6,b,Cay,4,[2],solv,[10s;12c;12c]
GHAT[60;3],60,4,b,Circ,4,[2;2;2],solv,[10s;12s;60s]
GHAT[60;4],60,4,b,Circ,4,[2;2;2],solv,[6s;20s;60s]
GHAT[60;5],60,4,b,AbCay,4,[2;2;2],solv,[12s;20s;30s]
GHAT[60;6],60,4,b,n-Cay,4,[2],n-solv,[4s;6s;10s]
GHAT[60;7],60,6,b,n-Cay,8,[4],n-solv,[6s;6s;10s]
GHAT[60;8],60,4,nb,Cay,4,[2;2],n-solv,[4s;5s;6s]
GHAT[60;9],60,3,nb,Cay,8,[2],n-solv,[3s;10s;12s]
GHAT[60;10],60,5,nb,Cay,4,[2;2],n-solv,[5s;6s;10s]
GHAT[60;11],60,6,b,n-Cay,4,[2],n-solv,[6s;10s;10s]
GHAT[63;1],63,4,nb,Circ,4,[2;2],solv,[14s;18s;63s]
GHAT[63;2],63,4,nb,AbCay,4,[2;2],solv,[6s;21s;42s]
GHAT[64;1],64,4,b,AbCay,4,[2;2;2],solv,[8s;16s;16s]
GHAT[64;2],64,4,b,AbCay,4,[2;2;2],solv,[8s;32s;32s]
GHAT[64;3],64,4,b,AbCay,8,[2;2;4],solv,[4s;8s;16s]
GHAT[64;4],64,6,b,Cay,24,[2;4],solv,[6s;8s;8s]
GHAT[64;5],64,6,b,Cay,4,[2;2;2],solv,[8s;16s;16s]
GHAT[64;6],64,6,b,Cay,8,[2;2;4],solv,[8s;8s;16s]
GHAT[64;7],64,6,b,Cay,8,[2;2;4],solv,[8s;16s;16s]
GHAT[64;8],64,6,b,Cay,4,[2],solv,[8s;16c;16c]
GHAT[64;9],64,4,b,Cay,4,[2;2;2],solv,[4s;8s;8s]
GHAT[65;1],65,4,nb,Circ,4,[2;2],solv,[10s;26s;65s]
GHAT[66;1],66,4,b,Circ,4,[2;2;2],solv,[6s;22s;66s]
GHAT[68;1],68,4,b,AbCay,4,[2],solv,[4c;4c;34s]
GHAT[69;1],69,4,nb,Circ,4,[2;2],solv,[6s;46s;69s]
GHAT[70;1],70,4,b,Circ,4,[2;2;2],solv,[10s;14s;70s]
GHAT[70;2],70,6,b,Cay,4,[2],solv,[10s;28c;28c]
GHAT[72;1],72,6,b,Cay,4,[2],solv,[6s;8c;8c]
GHAT[72;2],72,6,b,Cay,8,[2;2;4],solv,[6s;8s;24s]
GHAT[72;3],72,4,b,AbCay,8,[2;2;4],solv,[4s;12s;12s]
GHAT[72;4],72,6,b,Cay,8,[2;2;4],solv,[8s;12s;24s]
GHAT[72;5],72,6,b,Cay,4,[2;2;2],solv,[6s;6s;12s]
GHAT[72;6],72,4,b,AbCay,4,[2;2;2],solv,[6s;24s;24s]
GHAT[72;7],72,4,b,Circ,4,[2;2;2],solv,[8s;18s;72s]
GHAT[72;8],72,4,b,AbCay,4,[2;2;2],solv,[12s;24s;24s]
GHAT[72;9],72,4,b,Circ,4,[2;2;2],solv,[8s;36s;72s]
GHAT[72;10],72,6,nb,Cay,4,[2;2],solv,[8s;9s;36s]
GHAT[72;11],72,6,nb,Cay,4,[2;2],solv,[8s;18s;36s]
GHAT[72;12],72,3,nb,Cay,4,[2;2],solv,[3s;12s;24s]
GHAT[72;13],72,6,nb,Cay,4,[2;2],solv,[6s;12s;24s]
GHAT[74;1],74,4,b,Circ,4,[2],solv,[4c;4c;74s]
GHAT[75;1],75,3,nb,Cay,4,[2;2],solv,[3s;6s;10s]
GHAT[75;2],75,4,nb,AbCay,4,[2;2],solv,[10s;15s;30s]
GHAT[75;3],75,4,nb,Circ,4,[2;2],solv,[6s;50s;75s]
GHAT[77;1],77,4,nb,Circ,4,[2;2],solv,[14s;22s;77s]
GHAT[78;1],78,4,b,Circ,4,[2;2;2],solv,[6s;26s;78s]
GHAT[78;2],78,6,b,Cay,4,[2],solv,[12c;12c;26s]
GHAT[80;1],80,6,b,Cay,4,[2],solv,[10s;16c;16c]
GHAT[80;2],80,4,b,Circ,4,[2;2;2],solv,[10s;16s;80s]
GHAT[80;3],80,4,b,AbCay,4,[2;2;2],solv,[8s;20s;40s]
GHAT[80;4],80,6,b,Cay,4,[2],solv,[8c;8c;20s]
GHAT[80;5],80,6,b,Cay,4,[2],solv,[16c;16c;20s]
GHAT[80;6],80,4,b,Circ,4,[2;2;2],solv,[16s;20s;80s]
GHAT[80;7],80,4,b,AbCay,4,[2;2;2],solv,[8s;20s;40s]
GHAT[80;8],80,4,b,AbCay,4,[2],solv,[4c;4c;20s]
GHAT[80;9],80,6,b,Cay,4,[2],solv,[8c;8c;20s]
GHAT[80;10],80,5,nb,n-Cay,8,[4],solv,[5s;8s;20s]
GHAT[80;11],80,7,nb,n-Cay,8,[4],solv,[8s;10s;20s]
GHAT[80;12],80,5,nb,n-Cay,4,[2],solv,[5s;8s;10s]
GHAT[81;1],81,4,nb,AbCay,4,[2;2],solv,[6s;27s;54s]
GHAT[81;2],81,4,nb,AbCay,8,[2],solv,[4s;9s;18s]
GHAT[81;3],81,6,nb,Cay,4,[2;2],solv,[6s;9s;18s]
GHAT[81;4],81,6,nb,Cay,16,[2;8],solv,[6s;6s;9s]
GHAT[81;5],81,6,nb,Cay,4,[2;2],solv,[6s;9s;18s]
GHAT[81;6],81,3,nb,Cay,4,[2;2],solv,[3s;6s;18s]
GHAT[82;1],82,4,b,Circ,4,[2],solv,[4c;4c;82s]
GHAT[84;1],84,6,nb,Cay,4,[2;2],solv,[6s;21s;28s]
GHAT[84;2],84,4,b,Circ,4,[2;2;2],solv,[12s;14s;84s]
GHAT[84;3],84,4,b,Circ,4,[2;2;2],solv,[6s;28s;84s]
GHAT[84;4],84,4,b,AbCay,4,[2;2;2],solv,[12s;28s;42s]
GHAT[84;5],84,6,b,Cay,16,[2;8],n-solv,[6s;8s;12s]
GHAT[84;6],84,3,nb,n-Cay,4,[2],n-solv,[3s;7s;8s]
GHAT[84;7],84,4,nb,n-Cay,4,[2],n-solv,[4s;7s;8s]
GHAT[84;8],84,6,nb,n-Cay,8,[4],n-solv,[6s;7s;8s]
GHAT[84;9],84,4,b,Cay,8,[4],n-solv,[4s;6s;8s]
GHAT[85;1],85,4,nb,Circ,4,[2;2],solv,[10s;34s;85s]
GHAT[87;1],87,4,nb,Circ,4,[2;2],solv,[6s;58s;87s]
GHAT[88;1],88,4,b,Circ,4,[2;2;2],solv,[8s;22s;88s]
GHAT[88;2],88,4,b,Circ,4,[2;2;2],solv,[8s;44s;88s]
GHAT[90;1],90,6,b,Cay,8,[2;4],solv,[6s;20s;30s]
GHAT[90;2],90,4,b,AbCay,4,[2],solv,[4c;4c;30s]
GHAT[90;3],90,4,b,Circ,4,[2;2;2],solv,[10s;18s;90s]
GHAT[90;4],90,4,b,AbCay,4,[2;2;2],solv,[6s;30s;30s]
GHAT[90;5],90,6,b,Cay,4,[2],solv,[10s;36c;36c]
GHAT[90;6],90,3,nb,n-Cay,4,[2],n-solv,[3s;10s;15s]
GHAT[90;7],90,6,nb,n-Cay,8,[4],n-solv,[6s;6s;15s]
GHAT[90;8],90,6,b,n-Cay,32,[16],n-solv,[6s;8s;10s]
GHAT[91;1],91,4,nb,Circ,4,[2;2],solv,[14s;26s;91s]
GHAT[93;1],93,4,nb,Circ,4,[2;2],solv,[6s;62s;93s]
GHAT[95;1],95,4,nb,Circ,4,[2;2],solv,[10s;38s;95s]
GHAT[96;1],96,6,b,Cay,4,[2;2;2],solv,[6s;6s;8s]
GHAT[96;2],96,6,b,Cay,4,[2],solv,[6c;6c;8s]
GHAT[96;3],96,6,b,Cay,16,[2;2;8],solv,[6s;8s;24s]
GHAT[96;4],96,8,b,Cay,16,[2;2;8],solv,[8s;12s;24s]
GHAT[96;5],96,3,nb,Cay,4,[2;2],solv,[3s;8s;12s]
GHAT[96;6],96,6,nb,Cay,4,[2;2],solv,[6s;8s;12s]
GHAT[96;7],96,4,b,Circ,4,[2;2;2],solv,[6s;32s;96s]
GHAT[96;8],96,4,b,AbCay,4,[2;2;2],solv,[12s;16s;48s]
GHAT[96;9],96,4,b,Circ,4,[2;2;2],solv,[12s;32s;96s]
GHAT[96;10],96,4,b,AbCay,4,[2;2;2],solv,[8s;24s;24s]
GHAT[96;11],96,6,b,Cay,8,[2;2;4],solv,[8s;12s;24s]
GHAT[96;12],96,4,b,AbCay,4,[2;2;2],solv,[8s;48s;48s]
GHAT[96;13],96,4,b,AbCay,4,[2;2;2],solv,[16s;24s;48s]
GHAT[96;14],96,6,b,Cay,4,[2;2;2],solv,[16s;24s;48s]
GHAT[96;15],96,6,b,Cay,4,[2;2;2],solv,[8s;12s;24s]
GHAT[96;16],96,6,b,Cay,4,[2;2;2],solv,[12s;16s;48s]
GHAT[96;17],96,6,b,Cay,8,[2;2;4],solv,[8s;24s;24s]
GHAT[96;18],96,6,b,Cay,8,[4],solv,[6s;8s;12s]
GHAT[96;19],96,6,b,Cay,8,[2;2;4],solv,[8s;12s;24s]
GHAT[96;20],96,6,b,Cay,8,[2;2;4],solv,[8s;12s;24s]
GHAT[96;21],96,6,b,Cay,4,[2;2;2],solv,[8s;12s;12s]
GHAT[96;22],96,4,b,Cay,4,[2;2;2],solv,[4s;12s;24s]
GHAT[96;23],96,6,b,Cay,4,[2;2;2],solv,[6s;8s;12s]
GHAT[96;24],96,4,b,Cay,4,[2;2;2],solv,[4s;6s;24s]
GHAT[96;25],96,6,b,n-Cay,4,[2],solv,[8s;48s;48s]
GHAT[98;1],98,4,b,AbCay,8,[2;4],solv,[4s;14s;14s]
GHAT[99;1],99,4,nb,Circ,4,[2;2],solv,[18s;22s;99s]
GHAT[99;2],99,4,nb,AbCay,4,[2;2],solv,[6s;33s;66s]
GHAT[100;1],100,4,b,AbCay,8,[2;2;4],solv,[4s;10s;20s]
GHAT[100;2],100,8,b,n-Cay,8,[4],solv,[8c;8c;10s]
GHAT[100;3],100,6,b,Cay,4,[2],solv,[10s;20c;20c]
GHAT[100;4],100,4,b,AbCay,4,[2;2;2],solv,[10s;20s;20s]
GHAT[100;5],100,4,b,AbCay,4,[2],solv,[4c;4c;50s]
GHAT[102;1],102,4,b,Circ,4,[2;2;2],solv,[6s;34s;102s]
GHAT[102;2],102,6,b,Cay,4,[2],solv,[12c;12c;34s]
GHAT[104;1],104,6,b,Cay,4,[2],solv,[8c;8c;26s]
GHAT[104;2],104,4,b,Circ,4,[2;2;2],solv,[8s;26s;104s]
GHAT[104;3],104,4,b,AbCay,4,[2],solv,[4c;4c;52s]
GHAT[104;4],104,6,b,Cay,4,[2],solv,[8c;8c;52s]
GHAT[104;5],104,4,b,Circ,4,[2;2;2],solv,[8s;52s;104s]
GHAT[105;1],105,4,nb,Circ,4,[2;2],solv,[14s;30s;105s]
GHAT[105;2],105,4,nb,Circ,4,[2;2],solv,[10s;42s;105s]
GHAT[105;3],105,4,nb,Circ,4,[2;2],solv,[6s;70s;105s]
GHAT[106;1],106,4,b,Circ,4,[2],solv,[4c;4c;106s]
GHAT[108;1],108,6,b,Cay,8,[2;2;4],solv,[6s;12s;12s]
GHAT[108;2],108,4,b,Cay,4,[2;2;2],solv,[4s;6s;12s]
GHAT[108;3],108,6,b,n-Cay,4,[2],solv,[6s;24c;24c]
GHAT[108;4],108,6,nb,Cay,4,[2;2],solv,[9s;12s;18s]
GHAT[108;5],108,6,nb,Cay,4,[2;2],solv,[6s;9s;36s]
GHAT[108;6],108,3,nb,Cay,4,[2;2],solv,[3s;6s;12s]
GHAT[108;7],108,4,b,Cay,4,[2;2;2],solv,[4s;6s;12s]
GHAT[108;8],108,6,b,Cay,8,[2;2;4],solv,[6s;12s;12s]
GHAT[108;9],108,6,b,n-Cay,4,[2],solv,[6s;8c;8c]
GHAT[108;10],108,4,b,AbCay,4,[2;2;2],solv,[6s;36s;36s]
GHAT[108;11],108,4,b,AbCay,4,[2;2;2],solv,[12s;18s;36s]
GHAT[108;12],108,6,b,Cay,4,[2;2;2],solv,[6s;12s;12s]
GHAT[108;13],108,4,b,AbCay,4,[2;2;2],solv,[12s;18s;36s]
GHAT[110;1],110,4,b,Circ,4,[2;2;2],solv,[10s;22s;110s]
GHAT[110;2],110,6,b,Cay,4,[2],solv,[10s;44c;44c]
GHAT[111;1],111,4,nb,Circ,4,[2;2],solv,[6s;74s;111s]
GHAT[112;1],112,4,b,Circ,4,[2;2;2],solv,[14s;16s;112s]
GHAT[112;2],112,4,b,AbCay,4,[2;2;2],solv,[8s;28s;56s]
GHAT[112;3],112,4,b,Circ,4,[2;2;2],solv,[16s;28s;112s]
GHAT[112;4],112,4,b,AbCay,4,[2;2;2],solv,[8s;28s;56s]
GHAT[114;1],114,4,b,Circ,4,[2;2;2],solv,[6s;38s;114s]
GHAT[115;1],115,4,nb,Circ,4,[2;2],solv,[10s;46s;115s]
GHAT[116;1],116,4,b,AbCay,4,[2],solv,[4c;4c;58s]
GHAT[117;1],117,4,nb,Circ,4,[2;2],solv,[18s;26s;117s]
GHAT[117;2],117,4,nb,AbCay,4,[2;2],solv,[6s;39s;78s]
GHAT[119;1],119,4,nb,Circ,4,[2;2],solv,[14s;34s;119s]
GHAT[120;1],120,6,b,Cay,4,[2;2;2],solv,[6s;20s;30s]
GHAT[120;2],120,6,b,Cay,24,[2;4],n-solv,[6s;12s;20s]
GHAT[120;3],120,6,b,Cay,4,[2],solv,[10s;24c;24c]
GHAT[120;4],120,4,b,Circ,4,[2;2;2],solv,[10s;24s;120s]
GHAT[120;5],120,4,b,Circ,4,[2;2;2],solv,[6s;40s;120s]
GHAT[120;6],120,6,b,Cay,4,[2;2;2],solv,[24s;30s;40s]
GHAT[120;7],120,4,b,Circ,4,[2;2;2],solv,[8s;30s;120s]
GHAT[120;8],120,6,b,Cay,4,[2],solv,[12c;12c;20s]
GHAT[120;9],120,4,b,AbCay,4,[2;2;2],solv,[12s;20s;60s]
GHAT[120;10],120,4,b,Circ,4,[2;2;2],solv,[20s;24s;120s]
GHAT[120;11],120,6,b,Cay,4,[2],solv,[20s;24c;24c]
GHAT[120;12],120,4,b,Circ,4,[2;2;2],solv,[12s;40s;120s]
GHAT[120;13],120,4,b,Circ,4,[2;2;2],solv,[8s;60s;120s]
GHAT[120;14],120,6,b,Cay,4,[2;2;2],solv,[24s;40s;60s]
GHAT[120;15],120,6,nb,Cay,4,[2;2],solv,[8s;15s;60s]
GHAT[120;16],120,6,nb,Cay,4,[2;2],solv,[8s;30s;60s]
GHAT[120;17],120,6,nb,Cay,4,[2;2],solv,[12s;15s;40s]
GHAT[120;18],120,6,nb,Cay,4,[2;2],solv,[12s;30s;40s]
GHAT[120;19],120,4,b,Cay,4,[2;2;2],n-solv,[4s;6s;10s]
GHAT[120;20],120,4,b,n-Cay,4,[2],n-solv,[4s;10s;12s]
GHAT[120;21],120,6,b,n-Cay,8,[4],n-solv,[6s;12s;20s]
GHAT[120;22],120,6,b,Cay,8,[2;4],n-solv,[6s;10s;12s]
GHAT[120;23],120,4,b,Cay,4,[2],n-solv,[4s;10s;12s]
GHAT[120;24],120,5,nb,Cay,4,[2;2],n-solv,[5s;6s;8s]
GHAT[120;25],120,6,nb,Cay,4,[2;2],n-solv,[6s;8s;10s]
GHAT[120;26],120,6,b,n-Cay,4,[2],n-solv,[10s;12s;20s]
GHAT[120;27],120,6,b,Cay,12,[2],n-solv,[10s;12s;20s]
GHAT[120;28],120,3,nb,Cay,8,[2],n-solv,[3s;20s;24s]
GHAT[120;29],120,6,nb,Cay,4,[2;2],n-solv,[10s;12s;20s]
GHAT[120;30],120,5,nb,Cay,4,[2;2],n-solv,[5s;12s;20s]
GHAT[120;31],120,6,nb,Cay,8,[2],n-solv,[6s;20s;24s]
GHAT[121;1],121,4,nb,AbCay,8,[2],solv,[4s;11s;22s]
GHAT[122;1],122,4,b,Circ,4,[2],solv,[4c;4c;122s]
GHAT[123;1],123,4,nb,Circ,4,[2;2],solv,[6s;82s;123s]
GHAT[125;1],125,4,nb,AbCay,4,[2;2],solv,[10s;25s;50s]
GHAT[125;2],125,5,nb,Cay,8,[2],solv,[5s;10s;20s]
GHAT[126;1],126,6,b,Cay,8,[2;4],solv,[6s;28s;42s]
GHAT[126;2],126,4,b,Circ,4,[2;2;2],solv,[14s;18s;126s]
GHAT[126;3],126,4,b,AbCay,4,[2;2;2],solv,[6s;42s;42s]
GHAT[126;4],126,6,b,Cay,16,[2;8],n-solv,[6s;6s;24s]
GHAT[128;1],128,4,b,AbCay,4,[2;2;2],solv,[8s;32s;32s]
GHAT[128;2],128,4,b,AbCay,4,[2;2;2],solv,[8s;64s;64s]
GHAT[128;3],128,4,b,AbCay,8,[2;2;4],solv,[4s;16s;16s]
GHAT[128;4],128,4,b,AbCay,4,[2;2;2],solv,[16s;32s;32s]
GHAT[128;5],128,6,b,Cay,8,[2;2;4],solv,[8s;16s;16s]
GHAT[128;6],128,6,b,Cay,4,[2;2;2],solv,[8s;32s;32s]
GHAT[128;7],128,6,b,Cay,4,[2;2;2],solv,[16s;16s;16s]
GHAT[128;8],128,6,b,Cay,4,[2;2;2],solv,[16s;32s;32s]
GHAT[128;9],128,6,b,Cay,8,[2;2;4],solv,[8s;32s;32s]
GHAT[128;10],128,6,b,Cay,8,[2;2;4],solv,[8s;8s;16s]
GHAT[128;11],128,6,b,Cay,8,[2;2;4],solv,[8s;16s;16s]
GHAT[128;12],128,6,b,Cay,24,[2;4],solv,[6s;8s;16s]
GHAT[128;13],128,8,b,Cay,144,[2;8],solv,[8s;12s;16s]
GHAT[128;14],128,8,b,Cay,8,[2;2;4],solv,[8s;16s;16s]
GHAT[128;15],128,8,b,Cay,8,[2;2;4],solv,[8s;8s;16s]
GHAT[128;16],128,8,b,Cay,24,[2;4],solv,[8s;12s;16s]
GHAT[128;17],128,8,b,Cay,16,[2;2;8],solv,[8s;8s;16s]
GHAT[128;18],128,4,b,Cay,4,[2;2;2],solv,[4s;8s;8s]
GHAT[128;19],128,4,b,Cay,4,[2;2;2],solv,[4s;16s;16s]
GHAT[128;20],128,8,b,Cay,4,[2;2;2],solv,[8s;8s;8s]
GHAT[128;21],128,8,b,Cay,4,[2;2;2],solv,[8s;16s;16s]
GHAT[128;22],128,4,b,Cay,4,[2;2;2],solv,[4s;8s;16s]
GHAT[129;1],129,4,nb,Circ,4,[2;2],solv,[6s;86s;129s]
GHAT[130;1],130,4,b,Circ,4,[2;2;2],solv,[10s;26s;130s]
GHAT[130;2],130,6,b,Cay,4,[2],solv,[20c;20c;26s]
GHAT[130;3],130,6,b,Cay,4,[2],solv,[10s;52c;52c]
GHAT[130;4],130,4,b,Circ,4,[2],solv,[4c;4c;130s]
GHAT[130;5],130,4,b,Circ,4,[2],solv,[4c;4c;130s]
GHAT[132;1],132,6,nb,Cay,4,[2;2],solv,[6s;33s;44s]
GHAT[132;2],132,4,b,Circ,4,[2;2;2],solv,[12s;22s;132s]
GHAT[132;3],132,4,b,Circ,4,[2;2;2],solv,[6s;44s;132s]
GHAT[132;4],132,4,b,AbCay,4,[2;2;2],solv,[12s;44s;66s]
GHAT[133;1],133,4,nb,Circ,4,[2;2],solv,[14s;38s;133s]
GHAT[135;1],135,4,nb,Circ,4,[2;2],solv,[10s;54s;135s]
GHAT[135;2],135,4,nb,AbCay,4,[2;2],solv,[6s;45s;90s]
GHAT[135;3],135,4,nb,AbCay,4,[2;2],solv,[18s;30s;45s]
GHAT[135;4],135,6,nb,Cay,4,[2;2],solv,[6s;15s;30s]
GHAT[136;1],136,6,b,Cay,4,[2],solv,[8c;8c;34s]
GHAT[136;2],136,4,b,Circ,4,[2;2;2],solv,[8s;34s;136s]
GHAT[136;3],136,4,b,AbCay,4,[2],solv,[4c;4c;68s]
GHAT[136;4],136,4,b,Circ,4,[2;2;2],solv,[8s;68s;136s]
GHAT[136;5],136,6,b,Cay,4,[2],solv,[8c;8c;68s]
GHAT[138;1],138,4,b,Circ,4,[2;2;2],solv,[6s;46s;138s]
GHAT[140;1],140,4,b,Circ,4,[2;2;2],solv,[14s;20s;140s]
GHAT[140;2],140,6,b,Cay,4,[2],solv,[10s;28c;28c]
GHAT[140;3],140,4,b,Circ,4,[2;2;2],solv,[10s;28s;140s]
GHAT[140;4],140,4,b,AbCay,4,[2;2;2],solv,[20s;28s;70s]
GHAT[141;1],141,4,nb,Circ,4,[2;2],solv,[6s;94s;141s]
GHAT[143;1],143,4,nb,Circ,4,[2;2],solv,[22s;26s;143s]
GHAT[144;1],144,6,nb,Cay,8,[2],solv,[6s;6s;8s]
GHAT[144;2],144,6,b,Cay,4,[2],solv,[6s;16c;16c]
GHAT[144;3],144,6,b,Cay,8,[2;2;4],solv,[6s;16s;48s]
GHAT[144;4],144,8,b,Cay,4,[2],solv,[8c;8c;12s]
GHAT[144;5],144,6,b,Cay,8,[2;2;4],solv,[8s;12s;24s]
GHAT[144;6],144,4,b,Cay,4,[2;2;2],solv,[4s;8s;24s]
GHAT[144;7],144,8,b,Cay,4,[2],solv,[12s;16c;16c]
GHAT[144;8],144,6,b,Cay,8,[2;2;4],solv,[12s;16s;48s]
GHAT[144;9],144,6,b,Cay,8,[2;2;4],solv,[8s;12s;12s]
GHAT[144;10],144,4,b,Cay,4,[2;2;2],solv,[4s;8s;24s]
GHAT[144;11],144,4,b,AbCay,8,[2;2;4],solv,[4s;12s;24s]
GHAT[144;12],144,6,nb,Cay,4,[2;2],solv,[8s;9s;18s]
GHAT[144;13],144,3,nb,Cay,4,[2;2],solv,[3s;6s;24s]
GHAT[144;14],144,3,nb,Cay,8,[2],solv,[3s;8s;12s]
GHAT[144;15],144,6,b,Cay,4,[2;2;2],solv,[6s;12s;12s]
GHAT[144;16],144,6,b,Cay,4,[2;2;2],solv,[12s;12s;12s]
GHAT[144;17],144,6,b,Cay,4,[2;2;2],solv,[6s;12s;12s]
GHAT[144;18],144,4,b,AbCay,4,[2;2;2],solv,[6s;48s;48s]
GHAT[144;19],144,4,b,Circ,4,[2;2;2],solv,[16s;18s;144s]
GHAT[144;20],144,4,b,AbCay,4,[2;2;2],solv,[12s;24s;24s]
GHAT[144;21],144,4,b,AbCay,4,[2;2;2],solv,[8s;36s;72s]
GHAT[144;22],144,4,b,AbCay,4,[2;2;2],solv,[12s;48s;48s]
GHAT[144;23],144,4,b,Circ,4,[2;2;2],solv,[16s;36s;144s]
GHAT[144;24],144,4,b,AbCay,4,[2;2;2],solv,[8s;36s;72s]
GHAT[144;25],144,6,b,Cay,4,[2;2;2],solv,[12s;24s;24s]
GHAT[144;26],144,6,b,Cay,4,[2;2;2],solv,[8s;18s;36s]
GHAT[144;27],144,6,b,Cay,4,[2;2;2],solv,[6s;12s;24s]
